node_id,mean_time_offset,n
326039,0.0098209127671866,1731
326543,-0.0763358778625954,1703
326572,-0.00345821325648415,1735
32660E,21.4537470725995,1708
326710,57.5763403263403,1716
3274F4,58.174520069808,1719
327749,-0.055363321799308,1734
3282EC,-0.0791907514450867,1730
32841A,19.4908933217693,1153
328CCF,-0.0862068965517241,1740
328D0C,0.0219272937103289,1733
328FAF,0.0636205899363794,1729
32909D,739.674720094284,1697
339BB0,-0.338133640552995,1736
339CAE,-0.281024819855885,1249
33D76B,-0.169039145907473,1686
33DA3C,-0.301734104046243,1730
3648E1,0.630397236614853,1737
3765DD,0.644585253456221,1736
377E5F,0.632547441058079,1739
37824B,0.642691415313225,1724
379B89,0.597694524495677,1735
3B3B89,0.638888888888889,1728
